X,Y,portid,portname,country,ISO3,fullname,lat,lon,pageid,ObjectId
2217931.30677148,7291868.85045697,port104,Baltiysk,Russian Federation,RUS,"Baltiysk, Russian Federation",54.63771376,19.92401592,5cca8ac3d06c49359cfdfe53e4b95f45,597
15618194.8231589,6290179.78642707,port187,Vanino,Russian Federation,RUS,"Vanino, Russian Federation",49.09019681,140.3006312,2938439d92104975b6387c28135e7e4a,598
15671362.1140247,6704658.68260188,port283,De Kastri,Russian Federation,RUS,"De Kastri, Russian Federation",51.46889483,140.7782411,280d8952986e421caa8e7c552b995cea,599
9593184.0294208,10877170.4837982,port308,Dudinka,Russian Federation,RUS,"Dudinka, Russian Federation",69.40312102,86.17703837,88042e9a79fd498a9210025ac4799335,600
3179662.94851548,8535439.57158391,port378,Vysotsk,Russian Federation,RUS,"Vysotsk, Russian Federation",60.60392223,28.56339825,7a4e235f144c49e6b7c74a8fb25c20f0,601
2245862.63271412,7300832.42698594,port509,Izhevskoye,Russian Federation,RUS,"Izhevskoye, Russian Federation",54.68428825,20.17492729,72e1df66fa7a43e5969760990c790049,602
2276806.13272063,7303323.6897289,port530,Kaliningrad,Russian Federation,RUS,"Kaliningrad, Russian Federation",54.6972233,20.45289748,e5e75ecd2e794ab1bbe13f093a01ad60,603
3607762.7992009,10195255.314664,port539,Kandalaksha,Russian Federation,RUS,"Kandalaksha, Russian Federation",67.1371914,32.40908464,a93e4dee84e24ccc9e9c8a1aa62c0b96,604
4081839.23932005,5674596.79912135,port554,Kavkaz,Russian Federation,RUS,"Kavkaz, Russian Federation",45.33614508,36.66778576,07a9adf750f44bce921f3c773f96d7b1,605
3814910.20867907,8902922.10436139,port590,Kondopoga,Russian Federation,RUS,"Kondopoga, Russian Federation",62.18407331,34.26992148,0a971017887440d6870c109f35599044,606
15902000.6032752,5881349.49480238,port594,Korsakov,Russian Federation,RUS,"Korsakov, Russian Federation",46.62667555,142.8501019,8fa40bb5c1434534b4d55446e45b708a,607
